height,weight,age,sex,BMI
136.525,31.864838,65,xx,17.09571796
145.415,41.276872,51,xx,19.5203843
149.225,38.2434755,32,xx,17.17410755
147.955,34.869885,19,xx,15.9290994
154.305,49.89512,47,xx,20.95550222
144.78,36.0322145,73,xx,17.18991818
149.9,47.7,20,xx,21.22829496
150.495,33.849303,65.3,xx,14.94533272
143.9418,38.3568735,31,xx,18.51268202
105.41,13.947954,8,xx,12.55298124
86.36,10.489315,6.5,xx,14.06442108
156.21,42.7226965,29,xx,17.50817953
109.22,15.989118,7,xx,13.40356001
148.59,37.9032815,45,xx,17.16712801
147.32,35.4652245,19,xx,16.34102495
125.73,22.6796,16,xx,14.3468831
146.05,37.5063885,24,xx,17.58337042
146.05,38.498621,35,xx,18.04853895
152.7048,46.606578,33,xx,19.98673433
142.875,38.838815,27,xx,19.02626249
142.875,35.5786225,32,xx,17.42916746
147.955,47.400364,36,xx,21.6532148
147.32,39.12231,42,xx,18.02607068
147.955,49.89512,19,xx,22.79285768
144.78,28.803092,17,xx,13.74111477
128.905,23.359988,12,xx,14.05830913
97.79,13.267566,5,xx,13.87402154
143.51,38.55532,43,xx,18.72060945
110.49,15.422128,9,xx,12.63276322
97.79,12.757275,5,xx,13.34040533
152.4,46.719976,44,xx,20.11558545
141.605,44.22522,60,xx,22.05529268
158.8,50.9,20,xx,20.18444378
155.575,54.317642,37,xx,22.4419861
151.765,48.024053,50,xx,20.85045599
154.305,47.62716,25,xx,20.0029794
145.415,45.642695,23,xx,21.58504033
145.415,42.410852,52,xx,20.05665859
144.145,37.194544,27,xx,17.90111464
129.54,25.627948,14,xx,15.27235634
142.875,37.3362915,39,xx,18.29021
146.05,29.596878,12,xx,13.87531271
158.4198,47.286966,24,xx,18.84180603
149.86,37.931631,46,xx,16.89001598
147.955,41.900561,17,xx,19.14082026
137.795,27.5840635,12,xx,14.52751477
154.94,47.2019175,22,xx,19.66221942
147.955,39.3774555,30,xx,17.98822689
148.59,39.4341545,47,xx,17.86048995
136.525,36.28736,79,xx,19.46843327
144.78,42.2691045,54,xx,20.16535642
118.745,18.824068,9,xx,13.35004776
146.05,42.807745,23,xx,20.06869942
147.32,35.0683315,36,xx,16.15815176
162.56,56.755699,30,xx,21.47741929
152.4,51.255896,34,xx,22.06855491
149.86,40.936678,43,xx,18.228089
142.875,32.715323,73.3,xx,16.02650139
154.94,39.9444455,33,xx,16.63907937
148.59,32.4601775,16,xx,14.70184111
152.4,41.106775,29,xx,17.69878574
124.46,18.257078,12,xx,11.78614223
146.05,37.5063885,53,xx,17.58337042
151.13,42.2691045,48,xx,18.50638882
149.86,42.410852,35,xx,18.88450218
153.035,49.5832755,46,xx,21.17159986
149.225,42.1557065,27,xx,18.93098438
116.84,19.391058,8,xx,14.20425331
145.415,42.52425,53,xx,20.11028602
151.13,38.498621,41,xx,16.85558418
150.495,49.8100715,50,xx,21.99242009
91.44,11.7083435,3,xx,14.00306228
152.4,39.292407,49,xx,16.91759796
129.54,21.999212,12,xx,13.10989881
147.32,36.8826995,22,xx,16.99414345
145.415,42.127357,29,xx,19.92259002
121.92,19.787951,8,xx,13.31223324
154.305,47.853956,34,xx,20.09823168
120.65,21.1770765,12,xx,14.54827002
142.875,32.998818,40,xx,16.16537922
152.4,40.879979,27,xx,17.60113727
96.52,13.267566,3,xx,14.24152938
149.86,53.4388075,45,xx,23.79497767
149.225,42.240755,45,xx,18.96917735
125.095,22.3677555,11,xx,14.29362895
140.97,40.936678,85.6,xx,20.59961945
141.605,44.338618,24,xx,22.11184471
150.1648,41.95726,22,xx,18.60676339
155.575,51.482692,24,xx,21.27069246
103.505,12.757275,6,xx,11.90790217
94.615,13.0124205,4,xx,14.53577198
156.21,44.111822,21,xx,18.07745676
153.035,32.205032,79,xx,13.75125068
149.86,52.673371,40,xx,23.45414776
147.955,36.4858065,64,xx,16.66727718
155.575,42.0990075,26,xx,17.39371052
146.685,46.549879,62,xx,21.63451412
142.875,32.205032,17,xx,15.7765213
133.35,23.756881,14,xx,13.35990538
151.765,35.2951275,74,xx,15.32397739
148.59,43.885026,33,xx,19.87637558
157.48,45.5576465,53,xx,18.37005549
149.86,39.008912,18,xx,17.36970254
147.955,41.163474,37,xx,18.80410759
102.235,13.1258185,6,xx,12.55819412
153.035,45.245802,61,xx,19.31953881
149.225,52.3048275,35,xx,23.48867934
138.43,39.0939605,23,xx,20.40089554
149.225,40.3980375,53,xx,18.1416629
149.86,38.668718,57,xx,17.21822257
156.21,44.338618,29,xx,18.17039999
143.51,31.071052,18,xx,15.08660879
154.305,46.776675,51,xx,19.64578333
131.445,22.509503,14,xx,13.02800044
154.305,41.276872,25,xx,17.33591548
145.415,44.9906565,37,xx,21.27668261
147.955,44.735511,16,xx,20.43586899
156.845,45.6710445,43,xx,18.56519807
144.78,41.1918235,67,xx,19.65141709
143.51,38.4135725,39,xx,18.65178368
149.225,42.127357,18,xx,18.91825338
110.49,17.6617385,11,xx,14.46730053
149.86,38.2434755,48,xx,17.02887262
144.145,38.9238635,64,xx,18.73340731
154.305,50.2069645,68,xx,21.08647411
156.21,45.6,43,xx,18.68732669
153.67,40.766581,16,xx,17.26339101
134.62,27.1304715,13,xx,14.97056423
144.145,39.4341545,34,xx,18.97900187
114.3,20.4966885,10,xx,15.68885467
146.05,31.864838,44,xx,14.93855506
144.78,38.045029,29,xx,18.15017325
106.68,15.989118,8,xx,14.04942317
146.685,36.0889135,62,xx,16.77267751
152.4,40.879979,67,xx,17.60113727
156.21,46.379782,24,xx,19.00688899
140.335,36.5992045,62,xx,18.58401931
151.13,36.7126025,70,xx,16.07362409
149.86,38.6970675,58,xx,17.2308459
141.605,36.2023115,30,xx,18.05423638
93.98,14.288148,5,xx,16.17726347
149.225,41.276872,26,xx,18.53632364
105.41,15.2236815,5,xx,13.70111977
146.05,44.7638605,21,xx,20.98574595
145.415,37.931631,49,xx,17.93837513
127,21.488921,12,xx,13.32315767
159.385,44.4236665,83,xx,17.48716898
153.67,44.565414,54,xx,18.87207974
150.495,40.483086,68,xx,17.87431752
149.225,44.0834725,56,xx,19.7966918
127,24.4089195,15,xx,15.13356036
142.875,34.416293,57,xx,16.85976836
142.113,32.772022,22,xx,16.22690235
147.32,35.947166,40,xx,16.56308524
153.67,40.5114355,73.9,xx,17.15534475
147.955,33.792604,17,xx,15.43698089
125.3998,21.375523,13,xx,13.59324241
111.125,16.669506,8,xx,13.49892492
139.065,33.5941575,68,xx,17.37113013
154.94,48.137451,26,xx,20.05192106
147.955,42.751046,56,xx,19.52933488
117.983,24.097075,13,xx,17.31113166
144.145,33.906002,34,xx,16.31839413
92.71,12.076887,5,xx,14.05082551
147.955,41.276872,17,xx,18.85590954
150.495,35.947166,69,xx,15.87159287
154.305,45.756093,44,xx,19.21714806
130.6068,25.2594045,15,xx,14.80783375
101.6,15.3370795,5,xx,14.85782548
157.48,49.214732,18,xx,19.84468969
150.495,43.4597835,27,xx,19.18860557
144.145,34.246196,64.5,xx,16.48212384
145.415,39.3774555,42,xx,18.62212486
153.035,39.972795,49.5,xx,17.06801361
160.02,54.601137,28,xx,21.323238
149.225,45.075705,47,xx,20.2422765
59.6138,5.896696,1,xx,16.59262607
111.125,18.313777,6,xx,14.83045153
90.805,11.3681495,5,xx,13.78701508
153.67,41.333571,27,xx,17.5034938
99.695,16.2442635,5,xx,16.34380869
62.484,6.80388,1,xx,17.42685421
96.52,14.968536,2,xx,16.06736648
150.495,41.900561,55,xx,18.50016897
88.265,12.7856245,2,xx,16.41137217
149.225,40.82328,52,xx,18.33262777
154.94,46.209685,31,xx,19.24889949
123.825,20.581737,9,xx,13.42348714
104.14,15.87572,6,xx,14.63855753
148.59,42.52425,35,xx,19.26005386
97.155,17.066399,7,xx,18.08054773
91.44,12.927372,6,xx,15.46100824
152.4,43.544832,63,xx,18.74850683
152.4,43.431434,21,xx,18.69968259
109.22,11.7083435,2,xx,9.815018237
89.2048,12.700576,3,xx,15.96051755
67.31,7.200773,1,xx,15.89351438
69.85,7.7961125,1,xx,15.97884105
161.925,53.2120115,55,xx,20.29466397
152.4,44.678812,38,xx,19.2367492
71.755,7.37087,1,xx,14.31576017
83.82,9.2135875,1,xx,13.11394783
142.24,28.632995,16,xx,14.15217826
142.24,31.6663915,36,xx,15.65146843
74.295,8.3064035,1,xx,15.04852208
90.805,11.623295,3,xx,14.09644934
67.945,7.9662095,1,xx,17.25586433
135.89,27.21552,15,xx,14.73810477
93.345,14.004653,3,xx,16.07275159
152.4,45.1607535,38,xx,19.4442522
155.575,45.529297,21,xx,18.81097582
154.305,48.874538,50,xx,20.52686695
120.015,20.128145,13,xx,13.97438466
156.21,43.885026,30,xx,17.98451354
93.98,13.834556,4,xx,15.66369955
147.955,40.086193,38,xx,18.31198907
157.48,50.802304,19,xx,20.48484097
114.3,19.4194075,8,xx,14.86426757
69.85,7.314171,0,xx,14.99105815
150.495,44.111822,50,xx,19.47649724
148.59,37.5630875,36,xx,17.01304758
153.67,44.8205595,18,xx,18.98012599
68.58,8.0229085,0,xx,17.05834437
151.13,43.4030845,58,xx,19.00287141
153.035,39.5475525,33,xx,16.886439
151.765,34.7848365,21.5,xx,15.10242591
140.335,37.4496895,22,xx,19.01587103
142.875,35.606972,42,xx,17.44305524
144.78,43.998424,46,xx,20.9903643
154.94,48.2224995,26,xx,20.08734849
64.135,6.6621325,1,xx,16.19657058
147.32,35.550273,66,xx,16.38021206
146.7,36.6,20,xx,17.0067316
147.32,48.9595865,25,xx,22.55871309
147.32,36.967748,48,xx,17.03333056
149.86,38.045029,22,xx,16.9405093
76.2,8.50485,1,xx,14.64727096
140.0048,28.3495,15,xx,14.46303884
66.675,8.1363065,0,xx,18.30211381
152.4,43.0628905,29,xx,18.54100383
62.23,7.257472,0,xx,18.74069821
146.05,34.189497,23,xx,16.02837848
151.9936,49.951819,30,xx,21.62224106
55.88,4.8477645,0,xx,15.5248967
151.765,44.338618,41,xx,19.25036196
144.78,33.45241,42,xx,15.95916873
118.11,16.896302,7,xx,12.11206867
78.105,8.221355,3,xx,13.47676725
151.13,46.1246365,35,xx,20.19442965
121.92,20.184844,10,xx,13.57924079
147.32,40.8516295,64,xx,18.82287526
157.48,45.132404,24.2,xx,18.1985864
91.44,11.623295,4,xx,13.90134513
143.51,41.6454155,19,xx,20.22101124
147.32,51.255896,38,xx,23.61676507
137.16,27.952607,16,xx,14.85823988
154.94,43.8566765,41,xx,18.2687408
153.67,35.5219235,23,xx,15.04244015
145.415,34.246196,14,xx,16.19548368
141.605,42.88542,43,xx,21.3871291
144.78,32.545226,15,xx,15.52637771
149.86,42.977842,29,xx,19.13696878
85.09,11.4248485,3,xx,15.77950599
154.94,43.3463855,46,xx,18.05617627
106.045,15.478827,8,xx,13.76441168
148.2852,38.441922,39,xx,17.48273919
124.46,19.27766,12,xx,12.4449949
101.6,13.494362,4,xx,13.07268933
151.765,42.807745,43,xx,18.58570752
148.59,35.890467,70,xx,16.25548546
153.67,44.22522,26,xx,18.72801806
53.975,4.252425,0,xx,14.59658836
146.685,38.0733785,48,xx,17.69497714
56.515,5.159609,0,xx,16.15434404
81.5848,10.659412,3,xx,16.01455009
156.21,44.0267735,33,xx,18.04260306
125.095,22.5945515,12,xx,14.43855801
101.6,14.344847,5,xx,13.89659832
146.05,39.405805,37.4,xx,18.47383589
132.715,24.777463,13,xx,14.06749643
87.63,10.659412,6,xx,13.88121961
152.4,40.82328,49,xx,17.57672515
162.56,47.0318205,27,xx,17.79772158
67.945,7.2291225,1,xx,15.65923631
142.875,34.246196,31,xx,16.77644167
156.21,54.0624965,21,xx,22.15534065
156.845,53.0419145,41,xy,21.56144357
163.83,62.992589,35,xy,23.4694329
168.91,55.4799715,27,xy,19.44578615
165.1,54.487739,54,xy,19.9896247
151.13,41.220173,66,xy,18.04714241
163.195,48.5626935,36,xy,18.23429889
157.48,42.3258035,44,xy,17.06689038
121.92,19.617854,12,xy,13.19780144
161.29,48.987936,39,xy,18.83103792
129.54,23.586784,13,xy,14.05597398
146.4,35.493574,56,xy,16.56027632
137.16,27.328918,17,xy,14.52671729
114.3,17.860185,11,xy,13.67078623
147.955,40.312989,29,xy,18.41559297
161.925,55.111428,30,xy,21.01908724
160.655,47.8823055,24,xy,18.55182164
151.765,49.4131785,30,xy,21.45356835
162.8648,49.384829,24,xy,18.61826012
171.45,56.5572525,52,xy,19.24036581
121.92,20.41164,8,xy,13.73181653
154.305,41.2485225,55,xy,17.32400894
146.7,42.4,20,xy,19.70178743
157.48,44.6504625,18,xy,18.00425476
127,22.0105518,13,xy,13.64656941
165.735,58.5984165,42,xy,21.33326927
164.465,45.8978405,50,xy,16.96857114
161.29,52.219779,31,xy,20.07336334
152.4,36.4858065,79.3,xy,15.70919811
163.83,55.9335635,35,xy,20.83941994
129.54,24.550667,13,xy,14.63037676
153.67,48.307548,38,xy,20.45675819
167.005,47.173568,30,xy,16.91374498
91.44,12.927372,0.6,xy,15.46100824
165.735,57.549485,51,xy,20.95139652
160.9598,43.204638,29,xy,16.67613964
161.925,50.2636635,38,xy,19.17018605
113.665,17.463292,6,xy,13.51676002
159.385,50.689,45,xy,19.95348826
158.115,46.266384,45,xy,18.50629212
156.845,47.62716,31,xy,19.36035553
179.07,55.7067675,23,xy,17.37249883
170.18,48.5626935,41,xy,16.7681723
113.03,17.8885345,5,xy,14.00191083
133.985,27.442316,12,xy,15.28651194
160.02,47.230267,44,xy,18.44471158
167.005,57.0675435,38,xy,20.46115904
159.385,42.977842,43,xy,16.91802691
111.125,17.123098,11,xy,13.8662426
111.76,16.499409,6,xy,13.20978053
162.56,45.9545395,35,xy,17.39005827
111.76,15.081934,9,xy,12.07491966
86.36,11.4815475,7.6,xy,15.39483929
170.18,47.5988105,58,xy,16.43535394
159.385,45.019006,51,xy,17.72152159
160.655,54.8562825,29,xy,21.25386316
169.545,53.523856,41,xy,18.61990326
158.75,52.1914295,81.75,xy,20.70960064
74.295,9.752228,1,xy,17.66788941
96.52,13.097469,5,xy,14.05894567
161.925,41.730464,29,xy,15.91568746
162.56,56.018612,42,xy,21.19849176
100.076,15.081934,6,xy,15.05903557
163.195,53.0986135,22,xy,19.93744415
161.925,50.235314,43,xy,19.15937376
163.195,49.101334,43,xy,18.43654739
141.605,29.313383,15,xy,14.6187004
170.815,59.760746,33,xy,20.48160563
157.48,47.9390045,62,xy,19.33028241
149.225,38.1300775,17,xy,17.12318358
113.665,16.782904,5,xy,12.99013301
157.48,44.565414,33,xy,17.96996094
115.6,18.9,7,xy,14.14314963
167.005,55.1964765,42,xy,19.79030136
160,51.2,25,xy,20
159.385,49.044635,29,xy,19.30619166
160.655,54.090846,26,xy,20.95729763
160.655,55.3665735,45,xy,21.45157351
154.94,49.6966735,26,xy,20.70142381
160.02,45.9545395,57,xy,17.94650509
167.005,56.755699,50,xy,20.34934942
159.385,48.8461885,32,xy,19.22807412
161.925,56.9541455,38.7,xy,21.72188594
159.385,50.178615,63,xy,19.75257759
172.72,61.80191,22,xy,20.71651213
166.37,48.987936,41,xy,17.69860793
141.605,31.524644,19,xy,15.72146504
127.635,24.4089195,9,xy,14.98335225
119.38,21.5172705,7,xy,15.09816024
156.845,45.642695,41,xy,18.55367405
160.655,53.637254,44,xy,20.78155509
114.3,18.3421265,7,xy,14.03968046
100.965,13.7495075,4,xy,13.48793434
91.44,12.530479,4,xy,14.98632816
162.56,45.699394,55,xy,17.29350644
158.75,51.482692,59,xy,20.42837304
158.115,39.235708,35,xy,15.69406146
148.59,39.519203,62,xy,17.89901005
157.48,40.6248335,19,xy,16.38101401
157.48,50.178615,42,xy,20.23335297
107.95,17.57669,6,xy,15.08314131
168.275,54.6,41,xy,19.28206064
100.965,14.401546,5,xy,14.12756834
113.03,19.050864,9,xy,14.91170219
149.225,35.8054185,82,xy,16.07924228
154.94,45.2174525,28,xy,18.83557956
162.56,48.1091015,50,xy,18.20538488
123.19,20.808533,8,xy,13.71167633
161.0106,48.420946,31,xy,18.67774033
165.735,48.3358975,30,xy,17.5971089
157.48,40.029494,72,xy,16.14095728
163.83,54.2892925,44,xy,20.22680648
162.56,43.204638,62,xy,16.34944405
120.65,20.8935815,11,xy,14.35351406
154.94,45.4442485,31,xy,18.93005269
163.83,47.910655,57,xy,17.85028875
165.735,47.7122085,32,xy,17.37004943
152.4,41.163474,77,xy,17.72319786
158.115,43.09124,17,xy,17.23625247
163.195,48.137451,67,xy,18.07462902
171.1198,56.5572525,37,xy,19.31469149
163.83,47.4854125,35,xy,17.69185423
161.29,50.4337605,41,xy,19.38681508
162.56,55.281525,46,xy,20.91956424
145.415,35.493574,15,xy,16.7853854
170.815,58.456669,28,xy,20.03466357
159.4,44.4,54,xy,17.47456349
160.02,44.622113,68,xy,17.42615608
162.56,49.5549,19,xy,18.7525021
164.465,53.183662,41,xy,19.6621615
160.02,37.081146,75.9,xy,14.48120213
167.005,50.6038575,49,xy,18.14365071
151.13,43.9700745,26,xy,19.25111271
153.035,49.89,88,xy,21.30256839
152.4,43.8566765,33,xy,18.88277348
143.51,34.8415355,16,xy,16.91737428
155.575,39.7176495,74,xy,16.40982387
155.575,50.915702,50,xy,21.03643374
168.91,58.8252125,41,xy,20.61829651
111.76,17.8318355,8.9,xy,14.27654974
160.02,51.9646335,38,xy,20.29361124
167.64,50.688906,57,xy,18.03672209
160.02,59.5622995,24,xy,23.2607077
147.32,40.312989,16,xy,18.57469023
164.465,52.16308,71,xy,19.28484923
149.225,43.941725,33,xy,19.73303684
85.09,11.453198,3,xy,15.81866109
84.455,11.7650425,1,xy,16.49463721
92.71,12.1052365,3,xy,14.08380867
81.915,11.8784405,2,xy,17.70241654
80.01,9.865626,1,xy,15.41118759
151.765,42.524,83.4,xy,18.46251482
140.6398,28.859791,12,xy,14.59071926
158.115,43.147939,63,xy,17.25893175
151.765,42.864444,49,xy,18.61032435
161.29,47.853956,35,xy,18.39513427
93.345,13.1825175,5,xy,15.12920949
160.655,48.5059945,24,xy,18.79346763
157.48,45.869491,41,xy,18.49579949
167.005,52.900167,32,xy,18.96697604
157.48,47.570461,43,xy,19.18167586
60.452,5.6699,1,xy,15.51508117
137.16,28.91649,15,xy,15.37059298
81.28,11.509897,1,xy,17.42224222
71.12,7.540967,1,xy,14.90882937
85.09,12.360382,1,xy,17.07162434
88.9,12.5588285,3,xy,15.89079437
90.17,12.700576,3,xy,15.62065636
159.385,47.2019175,28,xy,18.58081451
168.91,56.4438545,38,xy,19.78362812
123.19,20.014747,12,xy,13.18861511
74.93,8.50485,1,xy,15.1479964
160.02,55.791816,48,xy,21.78823073
158.115,47.4854125,45,xy,18.99389664
85.09,10.8011595,3,xy,14.91809375
156.845,46.5782285,41,xy,18.93396674
114.3,18.14368,8,xy,13.88778284
83.82,10.9145575,3,xy,15.53498435
137.16,27.158821,12,xy,14.43630204
114.3,19.050864,7,xy,14.58217198
168.275,56.0469615,21,xy,19.79305696
139.7,26.5634815,15,xy,13.61106733
76.2,9.2135875,1,xy,15.86787687
66.04,7.5693165,1,xy,17.35571604
160.7,46.3,31,xy,17.92871805
146.05,37.9032815,16,xy,17.76943783
161.29,49.3564795,21,xy,18.97270661
133.985,28.1510535,13,xy,15.68130822
67.945,7.824462,0,xy,16.94882048
163.195,51.0291,39,xy,19.16038412
148.59,40.766581,44,xy,18.46397163
161.925,51.59609,36,xy,19.67836357
163.83,46.719976,58,xy,17.40667211
132.08,22.792998,11,xy,13.06553904
156.21,39.292407,26,xy,16.10241329
158.75,48.6760915,28,xy,19.31471174
84.455,9.3836845,2,xy,13.15596365
151.9428,43.714929,21,xy,18.93518387
161.29,48.19415,19,xy,18.52590536
127.9906,29.8520235,13,xy,18.22290558
160.9852,50.972401,48,xy,19.66813534
132.08,28.292801,11,xy,16.2181691
117.983,20.354941,8,xy,14.62281474
160.02,48.19415,25,xy,18.82113427
154.94,39.179009,16,xy,16.32023257
160.9852,46.6916265,51,xy,18.01636202
165.989,56.415505,25,xy,20.4757521
157.988,48.591043,28,xy,19.46740296
97.9932,13.2959155,5,xy,13.84606501
160.655,47.4854125,54,xy,18.39804692
172.9994,51.255896,38,xy,17.12594859
158.115,46.5215295,51,xy,18.60834888
124.9934,25.117657,13,xy,16.07699817
106.045,16.272613,6,xy,14.47027895
165.989,48.647742,27,xy,17.65647769
161.925,47.286966,60,xy,18.03489584
62.865,7.200773,0,xy,18.22054153
163.83,55.394923,43,xy,20.63873622
147.955,32.488527,12,xy,14.84125847
160.02,54.204244,27,xy,21.16824042
154.94,48.477645,30,xy,20.19363075
157.48,41.3052215,17,xy,16.65536456
60.96,6.23689,0,xy,16.78333131
160.655,47.286966,43,xy,18.32115956
92.71,12.757275,3,xy,14.84242132
153.67,47.400364,75.5,xy,20.07259371
139.7,50.348712,38,xy,25.79856518
154.94,42.240755,26,xy,17.59561978
83.185,9.1568885,2,xy,13.23298695
158.115,45.2174525,43,xy,18.08672545
123.825,21.205426,10,xy,13.83025948
88.9,11.5949455,3,xy,14.67118487
160.02,49.271431,23,xy,19.24184197
165.1,51.199197,49,xy,18.78317493
111.125,17.690088,6,xy,14.32538971
163.83,46.776675,21,xy,17.42779671
161.29,41.8722115,24,xy,16.09574248
154.9,38.2,20,xy,15.92064019
161.3,43.3,20,xy,16.64252284
170.18,53.637254,34,xy,18.5203631
123.825,21.54562,11,xy,14.0521353
160.655,39.7743485,65,xy,15.41042378
126.365,21.9141635,15,xy,13.72370248
166.37,52.673371,43,xy,19.03010042
89.535,11.113004,3,xy,13.8626352
100.965,14.3164975,5,xy,14.04413781
121.92,23.2182405,8,xy,15.6199413
154.94,44.111822,44,xy,18.37502307
132.715,24.9759095,15,xy,14.18016516
160.655,47.8823055,41,xy,18.55182164
156.21,41.050076,53,xy,16.82272326
114.935,17.519991,7,xy,13.26261853
76.835,8.0229085,1,xy,13.58981823
145.415,31.127751,17,xy,14.72072937
162.56,52.16308,31,xy,19.73948626
71.12,8.051258,0,xy,15.91769752
158.75,52.5316235,68,xy,20.84458989
151.765,47.8256065,63,xx,20.76429708
139.7,36.4858065,63,xy,18.69524403
